No.,Gen,Name,Type1,Type2,Ability1,Ability2,Hidden Ability,HP,Att,Def,S.Att,S.Def,Spd,total,moveset
#030,,Nidorina,poison,,Poison Point,Rivalry,Hustle,70,62,67,55,55,56,365,"[['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['7', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['9', 'Double Kick', 'FIGHTING', 'physical', '30', '100'], ['13', 'Poison Sting', 'POISON', 'physical', '15', '100'], ['20', 'Fury Swipes', 'NORMAL', 'physical', '18', '80'], ['23', 'Bite', 'DARK', 'physical', '60', '100'], ['28', 'Helping Hand', 'NORMAL', 'status', '-', '-'], ['35', 'Toxic Spikes', 'POISON', 'status', '-', '-'], ['38', 'Flatter', 'DARK', 'status', '-', '100'], ['43', 'Crunch', 'DARK', 'physical', '80', '100'], ['50', 'Captivate', 'NORMAL', 'status', '-', '100'], ['58', 'Poison Fang', 'POISON', 'physical', '50', '100']]"
#031,,Nidoqueen,poison,ground,Poison Point,Rivalry,Sheer Force,90,92,87,75,85,76,505,"[['1', 'Double Kick', 'FIGHTING', 'physical', '30', '100'], ['1', 'Poison Sting', 'POISON', 'physical', '15', '100'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['1', 'Superpower', 'FIGHTING', 'physical', '120', '100'], ['1', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['23', 'Chip Away', 'NORMAL', 'physical', '70', '100'], ['35', 'Body Slam', 'NORMAL', 'physical', '85', '100'], ['43', 'Earth Power', 'GROUND', 'special', '90', '100'], ['58', 'Superpower', 'FIGHTING', 'physical', '120', '100']]"
#032,,Nidoranm,poison,,Poison Point,Rivalry,Hustle,46,57,40,40,40,50,273,"[['1', 'Leer', 'NORMAL', 'status', '-', '100'], ['1', 'Peck', 'FLYING', 'physical', '35', '100'], ['7', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['9', 'Double Kick', 'FIGHTING', 'physical', '30', '100'], ['13', 'Poison Sting', 'POISON', 'physical', '15', '100'], ['19', 'Fury Attack', 'NORMAL', 'physical', '15', '85'], ['21', 'Horn Attack', 'NORMAL', 'physical', '65', '100'], ['25', 'Helping Hand', 'NORMAL', 'status', '-', '-'], ['31', 'Toxic Spikes', 'POISON', 'status', '-', '-'], ['33', 'Flatter', 'DARK', 'status', '-', '100'], ['37', 'Poison Jab', 'POISON', 'physical', '80', '100'], ['43', 'Captivate', 'NORMAL', 'status', '-', '100'], ['45', 'Horn Drill', 'NORMAL', 'physical', '-', '30']]"
#033,,Nidorino,poison,,Poison Point,Rivalry,Hustle,61,72,57,55,55,65,365,"[['1', 'Leer', 'NORMAL', 'status', '-', '100'], ['1', 'Peck', 'FLYING', 'physical', '35', '100'], ['7', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['9', 'Double Kick', 'FIGHTING', 'physical', '30', '100'], ['13', 'Poison Sting', 'POISON', 'physical', '15', '100'], ['20', 'Fury Attack', 'NORMAL', 'physical', '15', '85'], ['23', 'Horn Attack', 'NORMAL', 'physical', '65', '100'], ['28', 'Helping Hand', 'NORMAL', 'status', '-', '-'], ['35', 'Toxic Spikes', 'POISON', 'status', '-', '-'], ['38', 'Flatter', 'DARK', 'status', '-', '100'], ['43', 'Poison Jab', 'POISON', 'physical', '80', '100'], ['50', 'Captivate', 'NORMAL', 'status', '-', '100'], ['58', 'Horn Drill', 'NORMAL', 'physical', '-', '30']]"
#034,,Nidoking,poison,ground,Poison Point,Rivalry,Sheer Force,81,102,77,85,75,85,505,"[['1', 'Double Kick', 'FIGHTING', 'physical', '30', '100'], ['1', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['1', 'Megahorn', 'BUG', 'physical', '120', '85'], ['1', 'Peck', 'FLYING', 'physical', '35', '100'], ['1', 'Poison Sting', 'POISON', 'physical', '15', '100'], ['23', 'Chip Away', 'NORMAL', 'physical', '70', '100'], ['35', 'Thrash', 'NORMAL', 'physical', '120', '100'], ['43', 'Earth Power', 'GROUND', 'special', '90', '100'], ['58', 'Megahorn', 'BUG', 'physical', '120', '85']]"
#035,,Clefairy,fairy,,Cute Charm,Magic Guard,Friend Guard,70,45,48,60,65,35,323,"[['1', 'Disarming Voice', 'FAIRY', 'special', '40', '?'], ['1', 'Encore', 'NORMAL', 'status', '-', '100'], ['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Pound', 'NORMAL', 'physical', '40', '100'], ['1', 'Spotlight', 'NORMAL', 'status', '-', '-'], ['7', 'Sing', 'NORMAL', 'status', '-', '55'], ['10', 'Double Slap', 'NORMAL', 'physical', '15', '85'], ['13', 'Defense Curl', 'NORMAL', 'status', '-', '-'], ['16', 'Follow Me', 'NORMAL', 'status', '-', '-'], ['19', 'Bestow', 'NORMAL', 'status', '-', '-'], ['22', 'Wake-Up Slap', 'FIGHTING', 'physical', '70', '100'], ['25', 'Minimize', 'NORMAL', 'status', '-', '-'], ['28', 'Stored Power', 'PSYCHIC', 'special', '20', '100'], ['31', 'Metronome', 'NORMAL', 'status', '-', '-'], ['34', 'Cosmic Power', 'PSYCHIC', 'status', '-', '-'], ['37', 'Lucky Chant', 'NORMAL', 'status', '-', '-'], ['40', 'Body Slam', 'NORMAL', 'physical', '85', '100'], ['43', 'Moonlight', 'FAIRY', 'status', '-', '-'], ['46', 'Moonblast', 'FAIRY', 'special', '95', '100'], ['49', 'Gravity', 'PSYCHIC', 'status', '-', '-'], ['50', 'Meteor Mash', 'STEEL', 'physical', '90', '90'], ['55', 'Healing Wish', 'PSYCHIC', 'status', '-', '-'], ['58', 'After You', 'NORMAL', 'status', '-', '-']]"
#036,,Clefable,fairy,,Cute Charm,Magic Guard,Unaware,95,70,73,95,90,60,483,"[['1', 'Disarming Voice', 'FAIRY', 'special', '40', '?'], ['1', 'Double Slap', 'NORMAL', 'physical', '15', '85'], ['1', 'Metronome', 'NORMAL', 'status', '-', '-'], ['1', 'Minimize', 'NORMAL', 'status', '-', '-'], ['1', 'Sing', 'NORMAL', 'status', '-', '55'], ['1', 'Spotlight', 'NORMAL', 'status', '-', '-']]"
#037,,Vulpix,fire,,Flash Fire,,Drought,38,41,40,50,65,65,299,"[['1', 'Ember', 'FIRE', 'special', '40', '100'], ['4', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['7', 'Roar', 'NORMAL', 'status', '-', '-'], ['9', 'Baby-Doll Eyes', 'FAIRY', 'status', '-', '100'], ['10', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['12', 'Confuse Ray', 'GHOST', 'status', '-', '100'], ['15', 'Fire Spin', 'FIRE', 'special', '35', '85'], ['18', 'Payback', 'DARK', 'physical', '50', '100'], ['20', 'Will-O-Wisp', 'FIRE', 'status', '-', '85'], ['23', 'Feint Attack', 'DARK', 'physical', '60', '?'], ['26', 'Hex', 'GHOST', 'special', '65', '100'], ['28', 'Flame Burst', 'FIRE', 'special', '70', '100'], ['31', 'Extrasensory', 'PSYCHIC', 'special', '80', '100'], ['34', 'Safeguard', 'NORMAL', 'status', '-', '-'], ['36', 'Flamethrower', 'FIRE', 'special', '90', '100'], ['39', 'Imprison', 'PSYCHIC', 'status', '-', '-'], ['42', 'Fire Blast', 'FIRE', 'special', '110', '85'], ['44', 'Grudge', 'GHOST', 'status', '-', '-'], ['47', 'Captivate', 'NORMAL', 'status', '-', '100'], ['50', 'Inferno', 'FIRE', 'special', '100', '50']]"
#038,,Ninetales,fire,,Flash Fire,,Drought,73,76,75,81,100,100,505,"[['1', 'Confuse Ray', 'GHOST', 'status', '-', '100'], ['1', 'Flamethrower', 'FIRE', 'special', '90', '100'], ['1', 'Imprison', 'PSYCHIC', 'status', '-', '-'], ['1', 'Nasty Plot', 'DARK', 'status', '-', '-'], ['1', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['1', 'Safeguard', 'NORMAL', 'status', '-', '-']]"
#039,,Jigglypuff,normal,fairy,Cute Charm,Competitive,Friend Guard,115,45,20,45,25,20,270,"[['1', 'Sing', 'NORMAL', 'status', '-', '55'], ['3', 'Defense Curl', 'NORMAL', 'status', '-', '-'], ['5', 'Pound', 'NORMAL', 'physical', '40', '100'], ['9', 'Play Nice', 'NORMAL', 'status', '-', '-'], ['11', 'Disarming Voice', 'FAIRY', 'special', '40', '?'], ['14', 'Disable', 'NORMAL', 'status', '-', '100'], ['17', 'Double Slap', 'NORMAL', 'physical', '15', '85'], ['20', 'Rollout', 'ROCK', 'physical', '30', '90'], ['22', 'Round', 'NORMAL', 'special', '60', '100'], ['25', 'Spit Up', 'NORMAL', 'special', '-', '100'], ['25', 'Stockpile', 'NORMAL', 'status', '-', '-'], ['25', 'Swallow', 'NORMAL', 'status', '-', '-'], ['27', 'Wake-Up Slap', 'FIGHTING', 'physical', '70', '100'], ['30', 'Rest', 'PSYCHIC', 'status', '-', '-'], ['32', 'Body Slam', 'NORMAL', 'physical', '85', '100'], ['35', 'Gyro Ball', 'STEEL', 'physical', '-', '100'], ['38', 'Mimic', 'NORMAL', 'status', '-', '-'], ['41', 'Hyper Voice', 'NORMAL', 'special', '90', '100'], ['45', 'Double-Edge', 'NORMAL', 'physical', '120', '100']]"
#040,,Wigglytuff,normal,fairy,Cute Charm,Competitive,Frisk,140,70,45,85,50,45,435,"[['1', 'Defense Curl', 'NORMAL', 'status', '-', '-'], ['1', 'Disable', 'NORMAL', 'status', '-', '100'], ['1', 'Double-Edge', 'NORMAL', 'physical', '120', '100'], ['1', 'Double Slap', 'NORMAL', 'physical', '15', '85'], ['1', 'Play Rough', 'FAIRY', 'physical', '90', '90'], ['1', 'Sing', 'NORMAL', 'status', '-', '55']]"
#041,,Zubat,poison,flying,Inner Focus,,Infiltrator,40,45,35,30,40,55,245,"[['1', 'Absorb', 'GRASS', 'special', '20', '100'], ['5', 'Supersonic', 'NORMAL', 'status', '-', '55'], ['7', 'Astonish', 'GHOST', 'physical', '30', '100'], ['11', 'Bite', 'DARK', 'physical', '60', '100'], ['13', 'Wing Attack', 'FLYING', 'physical', '60', '100'], ['17', 'Confuse Ray', 'GHOST', 'status', '-', '100'], ['19', 'Air Cutter', 'FLYING', 'special', '60', '95'], ['23', 'Swift', 'NORMAL', 'special', '60', '?'], ['25', 'Poison Fang', 'POISON', 'physical', '50', '100'], ['29', 'Mean Look', 'NORMAL', 'status', '-', '-'], ['31', 'Leech Life', 'BUG', 'physical', '80', '100'], ['35', 'Haze', 'ICE', 'status', '-', '-'], ['37', 'Venoshock', 'POISON', 'special', '65', '100'], ['41', 'Air Slash', 'FLYING', 'special', '75', '95'], ['43', 'Quick Guard', 'FIGHTING', 'status', '-', '-']]"
#042,,Golbat,poison,flying,Inner Focus,,Infiltrator,75,80,70,65,75,90,455,"[['1', 'Absorb', 'GRASS', 'special', '20', '100'], ['1', 'Astonish', 'GHOST', 'physical', '30', '100'], ['1', 'Bite', 'DARK', 'physical', '60', '100'], ['1', 'Screech', 'NORMAL', 'status', '-', '85'], ['1', 'Supersonic', 'NORMAL', 'status', '-', '55'], ['5', 'Supersonic', 'NORMAL', 'status', '-', '55'], ['7', 'Astonish', 'GHOST', 'physical', '30', '100'], ['11', 'Bite', 'DARK', 'physical', '60', '100'], ['13', 'Wing Attack', 'FLYING', 'physical', '60', '100'], ['17', 'Confuse Ray', 'GHOST', 'status', '-', '100'], ['19', 'Air Cutter', 'FLYING', 'special', '60', '95'], ['24', 'Swift', 'NORMAL', 'special', '60', '?'], ['27', 'Poison Fang', 'POISON', 'physical', '50', '100'], ['32', 'Mean Look', 'NORMAL', 'status', '-', '-'], ['35', 'Leech Life', 'BUG', 'physical', '80', '100'], ['40', 'Haze', 'ICE', 'status', '-', '-'], ['43', 'Venoshock', 'POISON', 'special', '65', '100'], ['48', 'Air Slash', 'FLYING', 'special', '75', '95'], ['51', 'Quick Guard', 'FIGHTING', 'status', '-', '-']]"
#043,,Oddish,grass,poison,Chlorophyll,,Run Away,45,50,55,75,65,30,320,"[['1', 'Absorb', 'GRASS', 'special', '20', '100'], ['1', 'Growth', 'NORMAL', 'status', '-', '-'], ['5', 'Sweet Scent', 'NORMAL', 'status', '-', '100'], ['9', 'Acid', 'POISON', 'special', '40', '100'], ['13', 'Poison Powder', 'POISON', 'status', '-', '75'], ['14', 'Stun Spore', 'GRASS', 'status', '-', '75'], ['15', 'Sleep Powder', 'GRASS', 'status', '-', '75'], ['19', 'Mega Drain', 'GRASS', 'special', '40', '100'], ['23', 'Lucky Chant', 'NORMAL', 'status', '-', '-'], ['27', 'Moonlight', 'FAIRY', 'status', '-', '-'], ['31', 'Giga Drain', 'GRASS', 'special', '75', '100'], ['35', 'Toxic', 'POISON', 'status', '-', '90'], ['39', 'Natural Gift', 'NORMAL', 'physical', '-', '100'], ['43', 'Moonblast', 'FAIRY', 'special', '95', '100'], ['47', 'Grassy Terrain', 'GRASS', 'status', '-', '-'], ['51', 'Petal Dance', 'GRASS', 'special', '120', '100']]"
#044,,Gloom,grass,poison,Chlorophyll,,Stench,60,65,70,85,75,40,395,"[['1', 'Absorb', 'GRASS', 'special', '20', '100'], ['1', 'Acid', 'POISON', 'special', '40', '100'], ['1', 'Growth', 'NORMAL', 'status', '-', '-'], ['1', 'Sweet Scent', 'NORMAL', 'status', '-', '100'], ['5', 'Sweet Scent', 'NORMAL', 'status', '-', '100'], ['9', 'Acid', 'POISON', 'special', '40', '100'], ['13', 'Poison Powder', 'POISON', 'status', '-', '75'], ['14', 'Stun Spore', 'GRASS', 'status', '-', '75'], ['15', 'Sleep Powder', 'GRASS', 'status', '-', '75'], ['19', 'Mega Drain', 'GRASS', 'special', '40', '100'], ['24', 'Lucky Chant', 'NORMAL', 'status', '-', '-'], ['29', 'Moonlight', 'FAIRY', 'status', '-', '-'], ['34', 'Giga Drain', 'GRASS', 'special', '75', '100'], ['39', 'Toxic', 'POISON', 'status', '-', '90'], ['44', 'Natural Gift', 'NORMAL', 'physical', '-', '100'], ['49', 'Petal Blizzard', 'GRASS', 'physical', '90', '100'], ['54', 'Grassy Terrain', 'GRASS', 'status', '-', '-'], ['59', 'Petal Dance', 'GRASS', 'special', '120', '100']]"
#045,,Vileplume,grass,poison,Chlorophyll,,Effect Spore,75,80,85,110,90,50,490,"[['1', 'Aromatherapy', 'GRASS', 'status', '-', '-'], ['1', 'Mega Drain', 'GRASS', 'special', '40', '100'], ['1', 'Poison Powder', 'POISON', 'status', '-', '75'], ['1', 'Stun Spore', 'GRASS', 'status', '-', '75'], ['49', 'Petal Blizzard', 'GRASS', 'physical', '90', '100'], ['59', 'Petal Dance', 'GRASS', 'special', '120', '100'], ['69', 'Solar Beam', 'GRASS', 'special', '120', '100']]"
#046,,Paras,bug,grass,Effect Spore,Dry Skin,Damp,35,70,55,45,55,25,285,"[['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['6', 'Poison Powder', 'POISON', 'status', '-', '75'], ['6', 'Stun Spore', 'GRASS', 'status', '-', '75'], ['11', 'Absorb', 'GRASS', 'special', '20', '100'], ['17', 'Fury Cutter', 'BUG', 'physical', '40', '95'], ['22', 'Spore', 'GRASS', 'status', '-', '100'], ['27', 'Slash', 'NORMAL', 'physical', '70', '100'], ['33', 'Growth', 'NORMAL', 'status', '-', '-'], ['38', 'Giga Drain', 'GRASS', 'special', '75', '100'], ['43', 'Aromatherapy', 'GRASS', 'status', '-', '-'], ['49', 'Rage Powder', 'BUG', 'status', '-', '-'], ['54', 'X-Scissor', 'BUG', 'physical', '80', '100']]"
#047,,Parasect,bug,grass,Effect Spore,Dry Skin,Damp,60,95,80,60,80,30,405,"[['1', 'Absorb', 'GRASS', 'special', '20', '100'], ['1', 'Cross Poison', 'POISON', 'physical', '70', '100'], ['1', 'Poison Powder', 'POISON', 'status', '-', '75'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['1', 'Stun Spore', 'GRASS', 'status', '-', '75'], ['6', 'Poison Powder', 'POISON', 'status', '-', '75'], ['6', 'Stun Spore', 'GRASS', 'status', '-', '75'], ['11', 'Absorb', 'GRASS', 'special', '20', '100'], ['17', 'Fury Cutter', 'BUG', 'physical', '40', '95'], ['22', 'Spore', 'GRASS', 'status', '-', '100'], ['29', 'Slash', 'NORMAL', 'physical', '70', '100'], ['37', 'Growth', 'NORMAL', 'status', '-', '-'], ['44', 'Giga Drain', 'GRASS', 'special', '75', '100'], ['51', 'Aromatherapy', 'GRASS', 'status', '-', '-'], ['59', 'Rage Powder', 'BUG', 'status', '-', '-'], ['66', 'X-Scissor', 'BUG', 'physical', '80', '100']]"
#048,,Venonat,bug,poison,Compoundeyes,Tinted Lens,Run Away,60,55,50,40,55,45,305,"[['1', 'Disable', 'NORMAL', 'status', '-', '100'], ['1', 'Foresight', 'NORMAL', 'status', '-', '-'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['5', 'Supersonic', 'NORMAL', 'status', '-', '55'], ['11', 'Confusion', 'PSYCHIC', 'special', '50', '100'], ['13', 'Poison Powder', 'POISON', 'status', '-', '75'], ['17', 'Psybeam', 'PSYCHIC', 'special', '65', '100'], ['23', 'Stun Spore', 'GRASS', 'status', '-', '75'], ['25', 'Signal Beam', 'BUG', 'special', '75', '100'], ['29', 'Sleep Powder', 'GRASS', 'status', '-', '75'], ['35', 'Leech Life', 'BUG', 'physical', '80', '100'], ['37', 'Zen Headbutt', 'PSYCHIC', 'physical', '80', '90'], ['41', 'Poison Fang', 'POISON', 'physical', '50', '100'], ['47', 'Psychic', 'PSYCHIC', 'special', '90', '100']]"
#049,,Venomoth,bug,poison,Shield Dust,Tinted Lens,Wonder Skin,70,65,60,90,75,90,450,"[['1', 'Bug Buzz', 'BUG', 'special', '90', '100'], ['1', 'Disable', 'NORMAL', 'status', '-', '100'], ['1', 'Foresight', 'NORMAL', 'status', '-', '-'], ['1', 'Gust', 'FLYING', 'special', '40', '100'], ['1', 'Quiver Dance', 'BUG', 'status', '-', '-'], ['1', 'Silver Wind', 'BUG', 'special', '60', '100'], ['1', 'Supersonic', 'NORMAL', 'status', '-', '55'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['5', 'Supersonic', 'NORMAL', 'status', '-', '55'], ['11', 'Confusion', 'PSYCHIC', 'special', '50', '100'], ['13', 'Poison Powder', 'POISON', 'status', '-', '75'], ['17', 'Psybeam', 'PSYCHIC', 'special', '65', '100'], ['23', 'Stun Spore', 'GRASS', 'status', '-', '75'], ['25', 'Signal Beam', 'BUG', 'special', '75', '100'], ['29', 'Sleep Powder', 'GRASS', 'status', '-', '75'], ['37', 'Leech Life', 'BUG', 'physical', '80', '100'], ['41', 'Zen Headbutt', 'PSYCHIC', 'physical', '80', '90'], ['47', 'Poison Fang', 'POISON', 'physical', '50', '100'], ['55', 'Psychic', 'PSYCHIC', 'special', '90', '100'], ['59', 'Bug Buzz', 'BUG', 'special', '90', '100'], ['63', 'Quiver Dance', 'BUG', 'status', '-', '-']]"
#050,,Diglett,ground,,Sand Veil,Arena Trap,Sand Force,10,55,25,35,45,95,265,"[['1', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['4', 'Growl', 'NORMAL', 'status', '-', '100'], ['7', 'Astonish', 'GHOST', 'physical', '30', '100'], ['10', 'Mud-Slap', 'GROUND', 'special', '20', '100'], ['14', 'Magnitude', 'GROUND', 'physical', '-', '100'], ['18', 'Bulldoze', 'GROUND', 'physical', '60', '100'], ['22', 'Sucker Punch', 'DARK', 'physical', '70', '100'], ['25', 'Mud Bomb', 'GROUND', 'special', '65', '85'], ['28', 'Earth Power', 'GROUND', 'special', '90', '100'], ['31', 'Dig', 'GROUND', 'physical', '80', '100'], ['35', 'Slash', 'NORMAL', 'physical', '70', '100'], ['39', 'Earthquake', 'GROUND', 'physical', '100', '100'], ['43', 'Fissure', 'GROUND', 'physical', '-', '30']]"
#051,,Dugtrio,ground,,Sand Veil,Arena Trap,Sand Force,35,100,50,50,70,120,425,"[['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Night Slash', 'DARK', 'physical', '70', '100'], ['1', 'Rototiller', 'GROUND', 'status', '-', '-'], ['1', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['1', 'Sand Tomb', 'GROUND', 'physical', '35', '85'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['1', 'Tri Attack', 'NORMAL', 'special', '80', '100'], ['4', 'Growl', 'NORMAL', 'status', '-', '100'], ['7', 'Astonish', 'GHOST', 'physical', '30', '100'], ['10', 'Mud-Slap', 'GROUND', 'special', '20', '100'], ['14', 'Magnitude', 'GROUND', 'physical', '-', '100'], ['18', 'Bulldoze', 'GROUND', 'physical', '60', '100'], ['22', 'Sucker Punch', 'DARK', 'physical', '70', '100'], ['25', 'Mud Bomb', 'GROUND', 'special', '65', '85'], ['30', 'Earth Power', 'GROUND', 'special', '90', '100'], ['35', 'Dig', 'GROUND', 'physical', '80', '100'], ['41', 'Slash', 'NORMAL', 'physical', '70', '100'], ['47', 'Earthquake', 'GROUND', 'physical', '100', '100'], ['53', 'Fissure', 'GROUND', 'physical', '-', '30']]"
#052,,Meowth,normal,,Pickup,Technician,Unnerve,40,45,35,40,40,90,290,"[['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['6', 'Bite', 'DARK', 'physical', '60', '100'], ['9', 'Fake Out', 'NORMAL', 'physical', '40', '100'], ['14', 'Fury Swipes', 'NORMAL', 'physical', '18', '80'], ['17', 'Screech', 'NORMAL', 'status', '-', '85'], ['22', 'Feint Attack', 'DARK', 'physical', '60', '?'], ['25', 'Taunt', 'DARK', 'status', '-', '100'], ['30', 'Pay Day', 'NORMAL', 'physical', '40', '100'], ['33', 'Slash', 'NORMAL', 'physical', '70', '100'], ['38', 'Nasty Plot', 'DARK', 'status', '-', '-'], ['41', 'Assurance', 'DARK', 'physical', '60', '100'], ['46', 'Captivate', 'NORMAL', 'status', '-', '100'], ['49', 'Night Slash', 'DARK', 'physical', '70', '100'], ['50', 'Feint', 'NORMAL', 'physical', '30', '100']]"
#053,,Persian,normal,,Limber,Technician,Unnerve,65,70,60,65,65,115,440,"[['1', 'Bite', 'DARK', 'physical', '60', '100'], ['1', 'Fake Out', 'NORMAL', 'physical', '40', '100'], ['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Play Rough', 'FAIRY', 'physical', '90', '90'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['1', 'Swift', 'NORMAL', 'special', '60', '?'], ['1', 'Switcheroo', 'DARK', 'status', '-', '100'], ['6', 'Bite', 'DARK', 'physical', '60', '100'], ['9', 'Fake Out', 'NORMAL', 'physical', '40', '100'], ['14', 'Fury Swipes', 'NORMAL', 'physical', '18', '80'], ['17', 'Screech', 'NORMAL', 'status', '-', '85'], ['22', 'Feint Attack', 'DARK', 'physical', '60', '?'], ['25', 'Taunt', 'DARK', 'status', '-', '100'], ['32', 'Power Gem', 'ROCK', 'special', '80', '100'], ['37', 'Slash', 'NORMAL', 'physical', '70', '100'], ['44', 'Nasty Plot', 'DARK', 'status', '-', '-'], ['49', 'Assurance', 'DARK', 'physical', '60', '100'], ['56', 'Captivate', 'NORMAL', 'status', '-', '100'], ['61', 'Night Slash', 'DARK', 'physical', '70', '100'], ['65', 'Feint', 'NORMAL', 'physical', '30', '100']]"
#054,,Psyduck,water,,Damp,Cloud Nine,Swift Swim,50,52,48,65,50,55,320,"[['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['1', 'Water Sport', 'WATER', 'status', '-', '-'], ['4', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['7', 'Water Gun', 'WATER', 'special', '40', '100'], ['10', 'Confusion', 'PSYCHIC', 'special', '50', '100'], ['13', 'Fury Swipes', 'NORMAL', 'physical', '18', '80'], ['16', 'Water Pulse', 'WATER', 'special', '60', '100'], ['19', 'Disable', 'NORMAL', 'status', '-', '100'], ['22', 'Screech', 'NORMAL', 'status', '-', '85'], ['25', 'Zen Headbutt', 'PSYCHIC', 'physical', '80', '90'], ['28', 'Aqua Tail', 'WATER', 'physical', '90', '90'], ['31', 'Soak', 'WATER', 'status', '-', '100'], ['34', 'Psych Up', 'NORMAL', 'status', '-', '-'], ['37', 'Amnesia', 'PSYCHIC', 'status', '-', '-'], ['40', 'Hydro Pump', 'WATER', 'special', '110', '80'], ['43', 'Wonder Room', 'PSYCHIC', 'status', '-', '-']]"
#055,,Golduck,water,,Damp,Cloud Nine,Swift Swim,80,82,78,95,80,85,500,"[['1', 'Aqua Jet', 'WATER', 'physical', '40', '100'], ['1', 'Me First', 'NORMAL', 'status', '-', '-'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['1', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['1', 'Water Gun', 'WATER', 'special', '40', '100'], ['1', 'Water Sport', 'WATER', 'status', '-', '-'], ['4', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['7', 'Water Gun', 'WATER', 'special', '40', '100'], ['10', 'Confusion', 'PSYCHIC', 'special', '50', '100'], ['13', 'Fury Swipes', 'NORMAL', 'physical', '18', '80'], ['16', 'Water Pulse', 'WATER', 'special', '60', '100'], ['19', 'Disable', 'NORMAL', 'status', '-', '100'], ['22', 'Screech', 'NORMAL', 'status', '-', '85'], ['25', 'Zen Headbutt', 'PSYCHIC', 'physical', '80', '90'], ['28', 'Aqua Tail', 'WATER', 'physical', '90', '90'], ['31', 'Soak', 'WATER', 'status', '-', '100'], ['36', 'Psych Up', 'NORMAL', 'status', '-', '-'], ['41', 'Amnesia', 'PSYCHIC', 'status', '-', '-'], ['46', 'Hydro Pump', 'WATER', 'special', '110', '80'], ['51', 'Wonder Room', 'PSYCHIC', 'status', '-', '-']]"
